,coin_name,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,coin_symbol
78,Chiliz,1055443121.1130536,-0.23834646,1.94292019,5.25488998,0.11874535203248449,50422821.21293346,CHZ
79,Worldcoin,1035372594.1863194,0.04824993,8.04805862,7.97485266,5.107584562208677,280085943.2235851,WLD
80,Akash Network,1018106851.6542343,-1.30180361,3.74870946,-1.34607595,4.321476964335022,22529716.70243422,AKT
81,The Sandbox,1009910352.6221361,-0.11980538,3.78255434,-0.32866683,0.44731189779093433,66494204.42602459,SAND
82,dYdX (Native),1008241430.0889138,-0.01670815,2.60690177,1.67621493,2.169765841463906,5063288.44878547,DYDX
83,eCash,1000023387.4628347,-0.56270562,10.04129955,-0.21600494,5.0769715814782754e-05,46224286.27954538,XEC
84,KuCoin Token,982192664.4258614,0.028456,4.09786355,3.17595816,10.250290134511799,1650112.14182386,KCS
85,Starknet,977488482.5689474,-0.02234002,3.98186727,18.03781977,1.34270395957273,130034701.08171552,STRK
86,Tezos,945866502.872502,-0.0803954,3.25153517,-3.05189246,0.9647517999198122,25102266.27911208,XTZ
87,Synthetix,926538795.2184471,0.11384424,6.14527724,-1.16327162,2.8268025370634358,22378802.05931769,SNX
88,Mina,925860558.4178977,0.17000667,4.8179901,2.28299476,0.8436063457524632,21160772.73669506,MINA
89,EOS,923467653.532191,0.03743392,0.81177162,-0.45657512,0.8209475287643625,109792047.73311901,EOS
90,JasmyCoin,902766117.9974867,-0.05643042,8.4185875,1.89013976,0.018311686083347992,64475292.08896993,JASMY
91,Conflux,892599989.5831437,-0.27165185,3.53200659,-3.80448448,0.2261736495971093,32925728.91943424,CFX
92,Ronin,877494478.7490356,-0.19585091,2.41232241,0.12249094,2.7367198463264124,16476900.61311818,RON
93,Helium,862024903.918033,0.6736871,-2.54714856,33.3477753,5.358337445064843,17164098.99886261,HNT
94,ORDI,855723469.899678,0.50817716,14.25602346,-1.44263609,40.74873666188943,235115012.58153623,ORDI
95,Decentraland,850206365.6541774,0.12455865,3.77684504,-0.56905863,0.44552613064147645,43718550.42127916,MANA
96,Axelar,835084136.3182659,1.25250498,5.90626735,20.42448742,1.2876155695236684,23030615.14946958,AXL
97,Nervos Network,825396533.0072621,0.7332278,20.32971819,10.81379188,0.018723317897967398,88159305.35434088,CKB
98,Pyth Network,798916184.5407937,-0.29872148,3.57927077,-6.81180617,0.5326146976614471,63769711.93291561,PYTH
99,Gnosis,798147235.7107836,-0.21265886,3.29304227,-5.20406417,308.2139845067183,13004038.32396673,GNO
